;pH;sulphates;alcohol;quality
872;3.06;0.34;10.7;6
873;2.89;0.28;9.6;3
874;3.35;0.39;10.1;5
875;3.2;0.57;10.0;7
876;3.28;0.36;12.7;9
877;3.19;0.38;10.2;6
878;3.23;0.37;8.9;6
879;3.41;0.82;11.9;8
880;3.2;0.57;10.0;7
881;3.19;0.48;9.9;6
882;3.13;0.55;11.5;6
883;3.13;0.55;11.5;6
884;3.35;0.52;9.8;6
885;3.4;0.67;12.2;7
886;3.19;0.51;11.4;6
887;3.37;0.68;11.0;7
888;3.19;0.51;11.4;6
889;3.37;0.68;11.0;7
890;3.3;0.63;9.9;6
891;3.42;0.4;11.0;7
892;3.58;0.48;9.4;5
893;3.12;0.36;12.2;7
894;3.42;0.4;11.0;7
895;3.23;0.53;10.3;6
896;3.22;0.53;10.5;6
897;3.08;0.46;10.5;6
898;3.05;0.49;10.9;6
899;3.22;0.53;10.5;6
900;3.32;0.56;11.0;7
901;3.25;0.37;9.7;6
902;3.08;0.4;8.9;5
903;3.2;0.39;9.6;6
904;3.02;0.47;8.8;8
905;3.06;0.65;11.1;4
906;3.08;0.61;10.3;4
907;3.28;0.43;12.2;8
908;3.32;0.47;9.8;4
909;3.08;0.53;8.8;5
910;3.15;0.63;9.9;5
911;3.15;0.63;9.9;5
912;3.15;0.63;9.9;5
913;3.36;0.35;9.2;5
914;3.24;0.37;9.5;4
915;3.36;0.35;9.2;5
916;3.36;0.56;10.3;7
917;2.93;0.33;11.0;6
918;3.06;0.39;11.9;6
919;2.94;0.32;10.2;7
920;3.55;0.44;9.4;7
921;3.13;0.44;8.9;6
922;3.13;0.44;8.9;6
923;3.17;0.43;10.0;6
924;3.45;0.49;10.7;8
925;3.28;0.43;9.8;5
926;3.36;0.38;9.3;5
927;3.02;0.48;9.5;7
928;3.58;0.47;10.0;5
929;3.15;0.51;9.0;5
930;3.14;0.4;11.9;7
931;3.08;0.38;8.9;5
932;3.18;0.41;10.0;6
933;3.26;0.41;9.6;5
934;3.08;0.38;8.9;5
935;3.12;0.4;8.9;5
936;3.08;0.41;11.4;5
937;3.15;0.51;9.0;5
938;3.36;0.55;10.0;6
939;3.06;0.47;9.6;7
940;3.14;0.6;9.7;5
941;3.25;0.53;9.5;6
942;3.54;0.41;10.0;7
943;3.14;0.38;12.2;7
944;3.28;0.44;8.7;7
945;3.52;0.44;10.2;7
946;2.96;0.43;9.6;5
947;2.96;0.36;10.0;5
948;3.36;0.52;9.5;4
949;3.18;0.46;11.5;5
950;3.08;0.38;9.5;5
951;3.08;0.49;9.8;6
952;3.23;0.55;10.1;6
953;2.99;0.36;10.0;5
954;3.08;0.49;9.8;6
955;3.08;0.38;9.5;5
956;3.07;0.38;9.5;5
957;3.39;0.54;10.2;7
958;3.39;0.54;10.2;7
959;3.03;0.42;9.0;6
960;3.03;0.42;9.0;6
961;3.13;0.57;12.3;7
962;3.03;0.42;9.0;6
963;3.37;0.51;11.6;6
964;3.28;0.43;9.5;6
965;3.15;0.36;11.5;5
966;3.13;0.37;9.6;6
967;3.24;0.42;9.0;6
968;3.34;0.7;12.0;7
969;3.33;0.51;11.4;7
970;3.38;0.36;12.3;7
971;3.32;0.47;12.6;7
972;3.24;0.42;9.0;6
973;3.34;0.7;12.0;7
974;3.32;0.9;11.7;6
975;3.12;0.49;9.2;5
976;3.51;0.45;10.3;6
977;3.25;0.49;8.6;5
978;3.39;0.62;10.7;7
979;3.12;0.47;9.8;5
980;3.12;0.46;9.8;6
981;3.39;0.62;10.7;7
982;3.5;0.45;12.5;6
983;3.41;0.45;11.9;6
984;3.44;0.52;10.8;5
985;3.42;0.52;10.5;6
986;3.12;0.48;10.3;6
987;3.12;0.45;10.3;6
988;3.44;0.52;10.8;5
989;3.06;0.38;12.0;7
990;2.95;0.39;10.2;6
991;3.14;0.62;10.2;4
992;3.19;0.39;9.9;5
993;3.38;0.47;10.1;4
994;3.25;0.55;9.5;6
995;3.05;0.45;10.5;6
996;3.29;0.63;10.4;5
997;3.31;0.47;9.5;6
998;3.05;0.5;9.2;6
999;3.05;0.54;10.1;7
1000;3.15;0.45;9.8;7
1001;3.09;0.46;9.4;5
1002;3.09;0.45;9.4;6
1003;3.31;0.48;10.4;7
1004;3.34;0.55;11.3;6
1005;3.42;0.64;10.8;6
1006;3.34;0.55;11.3;6
1007;3.32;0.43;9.3;5
1008;3.37;0.55;10.3;7
1009;3.08;0.39;10.5;6
1010;3.11;0.75;10.3;6
1011;3.24;0.66;11.2;7
1012;3.15;0.41;10.3;6
1013;3.19;0.5;9.5;5
1014;3.66;0.43;8.9;5
1015;3.03;0.29;10.2;5
1016;2.98;0.88;9.2;5
1017;3.11;0.75;10.3;6
1018;2.95;0.31;10.5;6
1019;3.21;0.62;9.5;6
1020;3.11;0.49;11.4;7
1021;3.11;0.49;11.4;7
1022;3.25;0.37;11.1;8
1023;3.13;0.38;10.5;6
1024;3.51;0.7;12.0;6
1025;3.38;0.51;9.7;6
1026;3.32;0.51;10.2;6
1027;3.09;0.3;9.5;4
1028;3.41;0.59;10.4;7
1029;3.19;0.57;9.3;4
1030;3.48;0.62;10.5;6
1031;3.35;0.62;10.0;6
1032;3.49;0.64;10.2;6
1033;3.49;0.64;10.2;6
1034;2.87;0.74;9.1;3
1035;3.16;0.67;10.2;6
1036;3.54;0.88;10.7;5
1037;3.21;0.56;9.7;5
1038;3.37;0.52;9.3;7
1039;3.05;0.74;11.0;5
1040;3.22;0.71;10.8;4
1041;3.01;0.56;10.7;5
1042;3.24;0.45;10.7;4
1043;2.95;0.4;8.8;5
1044;3.16;0.48;10.9;7
1045;3.14;0.45;10.5;5
1046;3.29;0.45;10.0;5
1047;3.07;0.43;10.4;5
1048;3.03;0.43;9.2;5
1049;3.31;0.62;12.6;6
1050;3.1;0.54;9.0;5
1051;3.03;0.39;9.2;6
1052;2.99;0.39;11.3;5
1053;3.12;0.69;10.3;4
1054;3.07;0.43;10.4;5
1055;2.96;0.44;10.0;5
1056;3.51;0.47;10.7;6
1057;3.41;0.47;9.0;5
1058;3.51;0.47;10.7;6
1059;3.3;0.54;8.7;4
1060;3.09;0.72;11.6;7
1061;3.34;0.55;9.4;5
1062;3.31;0.68;9.5;5
1063;3.3;0.67;9.5;5
1064;3.37;0.7;10.9;6
1065;3.22;0.5;9.7;5
1066;3.08;0.45;9.1;6
1067;3.1;0.49;11.1;7
1068;2.96;0.4;12.6;7
1069;3.35;0.56;11.0;6
1070;3.0;0.55;11.3;7
1071;3.22;0.5;9.7;5
1072;2.96;0.4;10.9;7
1073;2.97;0.47;10.9;5
1074;3.17;0.5;9.3;6
1075;3.22;0.54;12.7;7
1076;3.37;0.59;10.1;6
1077;3.18;0.65;10.0;5
1078;3.49;0.42;9.8;5
1079;3.29;0.53;10.1;6
1080;3.43;0.39;9.0;7
1081;3.28;0.38;9.4;6
1082;3.28;0.38;9.4;6
1083;3.03;0.42;9.2;6
1084;3.36;0.33;10.1;7
1085;3.06;0.45;8.6;5
1086;3.55;0.49;11.2;8
1087;3.17;0.42;11.2;8
1088;3.03;0.42;9.2;6
1089;3.19;0.39;10.6;7
1090;3.01;0.51;9.3;6
1091;3.05;0.47;8.9;6
1092;3.42;0.43;10.6;6
1093;3.1;0.32;10.6;7
1094;3.09;0.32;8.8;5
1095;3.59;0.38;11.0;8
1096;3.32;0.37;10.2;6
1097;3.36;0.33;10.1;7
1098;3.31;0.34;10.1;6
1099;3.39;0.79;14.0;7
1100;3.28;0.38;9.4;6
1101;3.27;0.43;11.8;6
1102;3.44;0.53;11.4;5
1103;3.12;0.42;10.7;5
1104;3.06;0.45;8.6;5
1105;3.51;0.49;11.5;7
1106;3.55;0.49;11.2;8
1107;3.3;0.59;12.6;7
1108;3.21;0.51;12.6;7
1109;3.04;0.46;9.3;4
1110;3.3;0.59;12.6;7
1111;3.06;0.61;12.1;6
1112;3.52;0.44;9.9;6
1113;3.28;0.44;10.7;5
1114;3.26;0.32;10.0;4
1115;3.13;0.39;10.4;8
1116;3.29;0.52;10.5;5
1117;3.31;0.64;9.7;5
1118;3.29;0.52;10.5;5
1119;3.28;0.33;9.0;5
1120;3.54;0.45;9.2;6
1121;3.17;0.48;10.1;6
1122;3.35;0.4;11.4;7
1123;2.93;0.46;10.8;5
1124;2.96;0.49;10.9;5
1125;3.2;0.46;9.2;6
1126;3.12;0.25;12.9;7
1127;3.23;0.32;12.0;7
1128;3.27;0.46;9.5;5
1129;3.06;0.32;11.8;7
1130;3.19;0.43;9.1;6
1131;3.2;0.52;9.7;6
1132;3.17;0.54;9.1;5
1133;2.99;0.43;10.0;5
1134;3.25;0.42;10.4;5
1135;3.44;0.47;9.5;6
1136;3.4;0.4;12.3;8
1137;3.42;0.4;11.7;8
1138;3.14;0.58;9.5;5
1139;2.99;0.34;11.5;5
1140;3.14;0.46;10.6;6
1141;3.17;0.61;10.2;5
1142;3.14;0.58;9.5;5
1143;3.25;0.45;10.5;5
1144;3.26;0.44;10.5;5
1145;3.14;0.41;8.9;5
1146;3.03;0.41;10.6;5
1147;3.17;0.49;9.5;5
1148;3.2;0.49;10.8;6
1149;3.14;0.35;9.5;5
1150;3.13;0.4;8.9;5
1151;3.14;0.41;8.9;5
1152;3.31;0.38;9.4;4
1153;3.5;0.35;10.6;6
1154;3.47;0.44;9.0;4
1155;3.42;0.48;10.5;4
1156;3.16;0.38;9.0;6
1157;3.16;0.38;9.0;6
1158;3.27;0.38;9.4;6
1159;3.16;0.38;9.0;6
1160;3.29;0.8;9.6;6
1161;3.16;0.38;9.0;6
1162;3.15;0.6;10.2;7
1163;3.27;0.38;9.4;6
1164;3.07;0.38;10.4;6
1165;3.52;0.41;10.4;5
1166;3.23;0.32;9.5;5
1167;3.22;0.62;10.6;6
1168;3.21;0.37;11.0;5
1169;3.29;0.8;9.6;6
1170;3.38;0.5;9.9;6
1171;3.14;0.34;9.6;5
1172;3.01;0.7;12.8;6
1173;3.42;0.55;11.4;5
1174;3.41;0.5;10.0;6
1175;3.0;0.44;9.1;5
1176;3.36;0.5;9.4;7
1177;3.46;0.54;10.2;6
1178;2.97;0.39;9.2;5
1179;3.23;0.36;9.4;5
1180;3.14;0.34;9.6;5
1181;3.12;0.36;10.1;6
1182;3.42;0.55;11.4;5
1183;3.21;0.47;10.6;6
1184;3.18;0.44;12.8;7
1185;3.12;0.51;8.9;5
1186;3.09;0.43;9.3;5
1187;3.25;0.4;11.1;8
1188;3.13;0.33;9.9;6
1189;3.1;0.45;9.6;5
1190;3.01;0.7;12.8;6
1191;3.16;0.72;10.7;7
1192;2.96;0.42;9.2;6
1193;3.36;0.41;9.1;7
1194;3.33;0.6;9.6;6
1195;3.03;0.46;9.2;6
1196;3.16;0.72;10.7;7
1197;3.36;0.41;9.1;7
1198;2.96;0.42;9.2;6
1199;3.0;0.48;10.7;7
1200;3.3;0.45;10.8;6
1201;3.3;0.46;10.8;7
1202;3.1;0.37;9.0;5
1203;3.48;0.44;10.7;6
1204;3.48;0.44;10.7;6
1205;3.19;0.46;9.4;5
1206;2.94;0.35;8.8;6
1207;3.1;0.37;9.0;5
1208;3.42;0.49;11.5;6
1209;3.23;0.47;12.5;6
1210;2.96;0.25;10.5;6
1211;3.29;0.3;9.7;5
1212;3.23;0.52;11.3;6
1213;3.48;0.44;10.7;6
1214;2.74;0.47;10.8;6
1215;3.17;0.43;10.6;5
1216;3.04;0.32;11.7;8
1217;2.94;0.48;9.2;5
1218;3.02;0.34;11.1;8
1219;3.04;0.32;11.7;8
1220;3.33;0.44;11.0;6
1221;3.51;0.58;12.5;7
1222;3.16;0.67;10.0;6
1223;3.17;0.43;10.6;5
1224;3.26;0.54;12.3;7
1225;3.14;0.53;12.7;6
1226;3.26;0.54;12.3;7
1227;3.1;0.42;10.5;5
1228;3.23;0.28;12.5;6
1229;3.2;0.32;12.4;3
1230;3.06;0.41;8.7;6
1231;3.17;0.54;12.4;7
1232;3.16;0.54;12.6;7
1233;3.38;0.44;11.0;6
1234;3.42;0.5;10.1;6
1235;3.03;0.48;10.5;5
1236;3.14;0.53;12.7;6
1237;3.17;0.51;10.9;5
1238;3.07;0.43;13.5;7
1239;3.19;0.59;9.7;5
1240;3.45;0.43;9.2;6
1241;3.4;0.41;10.6;7
1242;2.98;0.39;13.3;7
1243;3.07;0.43;13.5;7
1244;3.29;0.32;10.1;5
1245;2.92;0.68;9.4;4
1246;3.18;0.4;10.6;7
1247;3.25;0.4;11.3;6
1248;3.32;0.4;10.8;7
1249;3.15;0.51;10.4;5
1250;3.82;0.51;10.5;7
1251;3.13;0.42;9.3;5
1252;3.12;0.42;9.3;6
1253;3.29;0.39;12.2;7
1254;3.08;0.3;9.2;5
1255;3.81;0.57;10.3;6
1256;3.33;0.62;9.4;6
1257;3.28;0.35;10.2;6
1258;3.08;0.39;9.0;6
1259;3.06;0.36;9.3;6
1260;3.06;0.34;9.2;6
1261;3.32;0.64;9.4;6
1262;3.33;0.62;9.4;6
1263;2.92;0.46;9.5;6
1264;3.46;0.39;9.9;5
1265;3.46;0.62;11.1;7
1266;2.99;0.41;12.3;8
1267;3.21;0.69;8.6;7
1268;3.04;0.35;9.4;5
1269;3.07;0.58;9.4;6
1270;3.21;0.69;8.6;7
1271;3.21;0.42;10.9;5
1272;3.2;0.48;9.4;5
1273;3.21;0.42;10.9;5
1274;3.07;0.58;9.4;6
1275;3.22;0.46;9.2;6
1276;3.21;0.69;8.6;7
1277;3.04;0.35;9.4;5
1278;3.33;0.37;10.8;6
1279;3.29;0.62;10.5;6
1280;3.02;0.78;12.5;6
1281;2.99;0.48;12.1;7
1282;3.02;0.43;8.7;5
1283;3.07;0.25;12.7;8
1284;2.99;0.48;12.1;7
1285;3.02;0.78;12.5;6
1286;3.06;0.44;11.4;7
1287;3.02;0.6;12.9;7
1288;3.15;0.51;12.8;7
1289;3.38;0.44;11.2;6
1290;3.14;0.42;9.7;6
1291;3.04;0.56;9.7;6
1292;3.5;0.54;10.3;6
1293;3.0;0.87;11.6;4
1294;3.0;0.86;11.6;4
1295;3.04;0.56;9.7;6
1296;3.32;0.44;10.9;6
1297;3.19;0.37;12.6;7
1298;3.3;0.47;12.4;6
1299;2.96;0.4;11.5;5
1300;2.93;0.35;10.2;6
1301;3.22;0.27;11.4;5
1302;3.3;0.33;9.6;6
1303;3.05;0.3;10.3;6
1304;2.95;0.75;9.3;5
1305;3.33;0.49;10.7;7
1306;3.13;0.49;12.8;8
1307;2.98;0.62;9.5;5
1308;3.02;0.45;10.4;6
1309;3.02;0.61;10.3;6
1310;3.46;0.39;9.9;6
1311;3.23;0.5;10.7;6
1312;2.94;0.43;10.5;5
1313;3.08;0.48;9.6;5
1314;3.15;0.46;9.3;6
1315;3.1;0.46;10.0;6
1316;3.04;0.39;11.2;6
1317;3.32;0.62;10.8;5
1318;3.54;0.51;10.3;6
1319;3.03;0.42;8.8;5
1320;3.04;0.74;12.8;6
1321;3.23;0.43;13.2;6
1322;3.54;0.56;10.1;6
1323;3.44;0.66;11.0;5
1324;3.25;0.62;10.8;6
1325;3.2;0.52;12.8;7
1326;3.12;0.36;9.2;6
1327;3.12;0.44;10.5;6
1328;3.37;0.38;11.7;6
1329;2.85;0.46;9.5;5
1330;2.85;0.45;9.5;5
1331;3.4;0.4;8.8;6
1332;3.15;0.51;9.3;7
1333;3.09;0.75;12.6;8
1334;3.21;0.34;12.4;6
1335;3.65;0.72;10.1;6
1336;3.26;0.37;11.2;8
1337;3.29;0.52;10.0;5
1338;3.29;0.52;10.0;5
1339;2.99;0.39;10.8;6
1340;3.27;0.33;10.0;6
1341;3.04;0.33;10.4;5
1342;2.99;0.39;10.8;6
1343;3.51;0.47;9.8;6
1344;3.26;0.4;12.2;8
1345;3.39;0.48;12.7;8
1346;3.21;0.35;12.2;7
1347;3.15;0.34;11.9;7
1348;3.26;0.37;11.2;8
1349;2.96;0.28;10.4;4
1350;3.29;0.67;12.8;7
1351;3.28;0.39;12.7;7
1352;3.65;0.72;10.1;6
1353;3.29;0.52;10.0;5
1354;3.43;0.41;9.0;5
1355;2.92;0.42;11.4;5
1356;3.32;0.59;8.9;6
1357;3.15;0.44;9.3;6
1358;3.28;0.46;12.0;8
1359;3.36;0.54;10.8;7
1360;3.52;0.37;10.5;6
1361;3.59;0.43;10.6;7
1362;3.19;0.48;11.3;7
1363;3.22;0.38;9.5;4
1364;2.92;0.42;11.4;5
1365;3.33;0.33;10.1;7
1366;3.25;0.43;10.9;6
1367;3.15;0.45;8.9;5
1368;3.32;0.59;8.9;6
1369;2.9;0.49;9.3;5
1370;3.25;0.4;10.4;6
1371;3.1;0.38;12.0;7
1372;2.87;0.68;9.5;6
1373;2.87;0.68;9.5;6
1374;3.14;0.38;12.4;7
1375;3.28;0.41;11.2;7
1376;3.15;0.69;11.4;6
1377;3.16;0.71;11.4;6
1378;3.35;0.38;11.1;7
1379;3.1;0.42;10.4;6
1380;3.38;0.35;12.0;7
1381;3.54;0.61;12.3;7
1382;3.12;0.35;9.1;6
1383;3.24;0.33;10.5;6
1384;3.23;0.7;11.4;6
1385;3.77;0.64;9.5;5
1386;3.42;0.9;13.7;7
1387;3.28;0.51;13.4;6
1388;3.2;0.48;11.3;7
1389;3.06;0.34;10.0;6
1390;3.49;0.42;10.1;6
1391;3.26;0.42;12.2;6
1392;3.28;0.51;13.4;6
1393;3.31;0.42;9.3;6
1394;3.42;0.9;13.7;7
1395;3.09;0.46;12.3;7
1396;3.2;0.48;11.3;7
1397;3.04;0.46;8.9;7
1398;3.04;0.46;8.9;7
1399;3.19;0.46;11.5;6
1400;3.04;0.46;8.9;7
1401;3.17;0.52;9.3;6
1402;3.3;0.5;11.1;8
1403;3.34;0.64;10.9;8
1404;2.9;0.38;11.6;5
1405;3.15;0.35;10.2;4
1406;3.01;0.38;10.5;8
1407;2.91;0.78;11.4;6
1408;3.04;0.46;8.9;7
1409;3.14;0.41;10.6;6
1410;3.31;0.4;11.6;6
1411;3.19;0.46;11.5;6
1412;3.25;0.79;12.3;8
1413;3.14;0.41;10.8;6
1414;3.29;0.38;11.3;6
1415;3.36;0.36;9.3;5
1416;3.36;0.6;10.0;6
1417;3.04;0.63;11.0;3
1418;3.13;0.55;10.2;5
1419;3.07;0.4;10.8;7
1420;3.1;0.34;10.1;4
1421;3.27;0.37;11.6;6
1422;3.32;0.47;9.1;5
1423;3.06;0.43;10.0;4
1424;3.14;0.41;10.8;6
1425;3.25;0.35;11.4;6
1426;3.05;0.34;12.7;6
1427;3.13;0.55;11.3;5
1428;3.0;0.68;10.4;7
1429;3.3;0.46;9.6;5
1430;3.0;0.31;10.1;4
1431;3.3;0.46;9.6;5
1432;3.1;0.49;12.1;7
1433;3.07;0.33;12.2;6
1434;3.13;0.55;11.3;5
1435;3.17;0.5;9.6;5
1436;2.99;0.7;9.2;5
1437;3.0;0.68;10.4;7
1438;3.23;0.34;9.5;5
1439;3.16;0.47;8.9;5
1440;3.03;0.44;8.8;5
1441;3.16;0.35;10.5;5
1442;3.08;0.34;9.4;5
1443;3.24;0.4;12.2;6
1444;3.14;0.35;11.3;6
1445;3.25;0.42;12.2;6
1446;3.38;0.42;12.2;6
1447;3.23;0.47;11.2;6
1448;3.23;0.47;11.2;6
1449;3.2;0.27;11.5;6
1450;3.14;0.35;11.3;6
1451;3.01;0.42;9.3;5
1452;3.14;0.35;11.3;6
1453;3.14;0.38;11.8;7
1454;2.99;0.54;9.2;5
1455;3.0;0.81;9.2;5
1456;3.38;0.42;12.2;6
1457;3.25;0.42;12.2;6
1458;3.31;0.41;12.2;6
1459;3.24;0.42;10.6;6
1460;3.28;0.4;12.4;6
1461;3.56;0.44;10.8;6
1462;3.23;0.47;11.2;6
1463;3.06;0.46;11.0;6
1464;3.16;0.27;12.7;8
1465;3.46;0.53;10.2;5
1466;3.2;0.27;11.5;6
1467;3.13;0.39;12.3;7
1468;3.19;0.39;9.8;5
1469;3.01;0.42;9.3;5
1470;3.14;0.38;11.8;7
1471;3.14;0.35;11.3;6
1472;3.15;0.28;11.4;5
1473;3.21;0.48;10.8;6
1474;2.99;0.48;9.5;4
1475;3.46;0.44;10.2;6
1476;3.22;0.36;10.7;5
1477;3.05;0.29;10.8;6
1478;2.99;0.28;11.5;6
1479;3.32;0.49;10.7;6
1480;3.46;0.44;10.2;6
1481;3.37;0.6;10.1;6
1482;3.62;0.81;10.4;6
1483;2.99;0.48;9.5;4
1484;3.14;0.5;9.1;3
1485;2.98;0.39;10.6;6
1486;3.3;0.7;9.4;6
1487;3.51;0.45;9.8;6
1488;3.18;0.54;9.5;6
1489;2.99;0.41;9.3;5
1490;3.55;0.45;10.3;6
1491;3.06;0.62;11.1;5
1492;3.14;0.48;10.0;5
1493;3.13;0.38;12.3;8
1494;3.14;0.38;12.4;8
1495;3.13;0.38;12.3;7
1496;3.41;0.32;10.4;5
1497;3.13;0.48;12.1;7
1498;3.16;0.42;12.5;6
1499;3.22;0.6;13.0;6
1500;2.99;0.32;11.0;7
1501;3.05;0.37;10.1;5
1502;3.13;0.36;9.2;5
1503;3.27;0.34;12.6;7
1504;3.26;0.38;12.2;8
1505;3.04;0.49;9.8;7
1506;3.1;0.52;11.0;6
1507;3.22;0.64;10.0;6
1508;3.55;0.44;9.8;6
1509;3.16;0.47;10.5;5
1510;3.23;0.48;10.0;5
1511;3.02;0.51;11.2;6
1512;2.99;0.32;11.0;7
1513;3.01;0.28;11.2;6
1514;2.99;0.32;11.0;7
1515;3.14;0.77;10.5;6
1516;3.02;0.33;10.6;6
1517;3.02;0.33;10.6;6
1518;3.04;0.34;12.0;6
1519;3.05;0.37;10.1;5
1520;3.05;0.37;10.1;6
1521;3.13;0.36;9.2;5
1522;3.25;0.63;11.0;5
1523;3.34;0.49;10.0;6
1524;3.28;0.39;8.7;6
1525;3.04;0.44;8.7;5
1526;3.15;0.54;11.1;6
1527;3.04;0.55;11.0;6
1528;3.15;0.54;11.1;6
1529;3.28;0.39;8.7;6
1530;3.04;0.44;8.7;5
1531;3.1;0.3;11.2;7
1532;3.14;0.3;11.1;7
1533;3.24;0.54;10.8;6
1534;3.38;0.67;9.0;6
1535;3.03;0.4;10.3;6
1536;2.91;0.32;9.9;5
1537;3.13;0.41;10.0;6
1538;3.21;0.42;9.8;6
1539;3.24;0.54;10.8;6
1540;3.38;0.67;9.0;6
1541;3.16;0.32;9.1;4
1542;3.23;0.57;10.6;6
1543;3.2;0.72;10.6;6
1544;2.91;0.32;9.9;5
1545;3.18;0.47;10.6;6
1546;3.13;0.45;9.9;6
1547;3.12;0.45;9.9;6
1548;3.34;0.59;12.8;6
1549;3.03;0.4;10.3;6
1550;3.18;0.48;10.6;6
1551;3.09;0.31;8.7;6
1552;3.32;0.44;12.6;7
1553;3.43;0.63;11.0;7
1554;3.29;0.6;11.2;7
1555;3.45;0.57;10.7;7
1556;3.08;0.58;9.6;6
1557;3.18;0.48;10.6;6
1558;3.27;0.57;9.0;4
1559;2.96;0.33;10.5;4
1560;3.29;0.52;12.8;6
1561;3.15;0.46;10.1;5
1562;3.3;0.33;12.2;7
1563;3.29;0.52;12.8;6
1564;3.15;0.46;10.1;5
1565;3.14;0.51;10.1;6
1566;3.06;0.41;9.2;5
1567;3.33;0.44;9.9;5
1568;3.52;0.58;9.7;6
1569;3.21;0.46;9.9;5
1570;3.21;0.45;9.9;5
1571;3.52;0.58;9.7;6
1572;3.54;0.5;10.3;6
1573;3.16;0.35;10.3;5
1574;2.88;0.34;10.5;4
1575;3.63;0.76;10.5;6
1576;3.32;0.44;9.8;6
1577;3.31;0.58;10.6;4
1578;3.58;0.68;10.1;5
1579;3.22;0.53;9.0;4
1580;3.18;0.45;9.5;5
1581;2.94;0.32;11.5;6
1582;3.03;0.33;11.9;7
1583;3.58;0.68;10.1;5
1584;3.21;0.42;9.2;6
1585;3.02;0.4;8.7;5
1586;3.11;0.46;9.8;5
1587;3.21;0.42;9.2;6
1588;3.02;0.4;8.7;5
1589;3.35;0.48;11.2;6
1590;3.08;0.82;12.3;6
1591;3.34;0.44;10.4;6
1592;3.13;0.41;10.7;6
1593;3.13;0.59;10.5;6
1594;2.95;0.4;9.4;6
1595;3.24;0.43;9.2;6
1596;3.15;0.3;11.9;5
1597;3.24;0.43;9.2;6
1598;3.27;0.39;9.9;6
1599;3.11;0.5;11.4;6
1600;2.95;0.4;9.4;6
1601;3.08;0.52;10.7;6
1602;3.28;0.36;12.7;5
1603;3.32;0.5;13.5;7
1604;3.24;0.35;9.5;5
1605;3.37;0.42;12.9;9
1606;3.07;0.46;12.5;6
1607;3.34;0.38;9.5;7
1608;2.98;0.47;8.6;5
1609;3.09;0.46;10.0;7
1610;3.07;0.46;12.5;6
1611;3.12;0.34;10.1;6
1612;3.03;0.32;11.3;7
1613;3.26;0.4;10.6;7
1614;3.14;0.34;10.8;5
1615;3.4;0.47;10.7;6
1616;3.09;0.4;9.0;6
1617;3.22;0.52;9.2;6
1618;3.14;0.48;8.5;6
1619;3.41;0.36;11.3;8
1620;3.03;0.32;11.3;7
1621;3.13;0.34;9.4;5
1622;3.11;0.37;8.7;6
1623;3.36;0.36;9.4;6
1624;3.09;0.51;10.5;7
1625;3.38;0.53;9.7;6
1626;3.31;0.44;10.2;6
1627;3.13;0.34;9.4;5
1628;3.19;0.35;11.5;6
1629;2.94;0.31;9.6;6
1630;3.23;0.7;11.4;5
1631;3.19;0.35;11.5;6
1632;3.41;0.58;12.2;8
1633;3.2;0.38;11.0;7
1634;3.03;0.52;9.2;6
1635;3.26;0.45;10.2;6
1636;3.21;0.33;10.0;5
1637;3.13;0.48;9.7;6
1638;2.96;0.51;9.2;5
1639;3.1;0.39;10.5;5
1640;3.21;0.33;10.0;5
1641;3.27;0.52;10.1;6
1642;3.42;0.36;9.1;7
1643;3.09;0.57;10.2;7
1644;3.42;0.36;9.1;7
1645;3.17;0.59;10.5;7
1646;3.27;0.52;10.1;6
1647;3.05;0.28;12.1;7
1648;3.4;0.59;10.2;5
1649;3.65;0.52;9.4;4
1650;3.08;0.67;12.8;7
1651;3.12;0.58;9.0;6
1652;3.24;0.36;10.9;4
1653;3.15;0.38;8.8;6
1654;3.11;0.38;9.0;5
1655;3.09;0.59;10.2;5
1656;3.19;0.48;9.2;5
1657;3.26;0.58;11.3;6
1658;3.12;0.45;8.8;5
1659;3.16;0.4;9.3;5
1660;3.17;0.45;9.4;6
1661;3.23;0.4;10.3;6
1662;2.92;0.42;10.8;7
1663;3.15;0.38;8.8;6
1664;3.27;0.58;9.0;4
1665;3.41;0.51;11.5;8
1666;3.25;0.43;10.8;5
1667;2.95;0.51;11.8;6
1668;3.12;0.38;10.5;7
1669;3.14;0.44;9.9;6
1670;3.2;0.56;9.8;6
1671;3.4;0.42;11.4;7
1672;3.2;0.38;9.3;5
1673;3.2;0.38;9.3;5
1674;3.3;0.44;10.3;6
1675;3.17;0.47;8.9;5
1676;3.4;0.42;11.4;7
1677;3.11;0.35;11.1;6
1678;3.36;0.45;10.4;6
1679;3.33;0.43;10.1;5
1680;3.22;0.55;9.0;5
1681;3.74;0.55;11.9;6
1682;3.12;0.38;9.0;7
1683;3.12;0.38;9.0;7
1684;3.06;0.44;9.1;7
1685;3.12;0.38;9.0;7
1686;3.46;0.72;10.0;5
1687;3.06;0.44;9.1;7
1688;3.55;0.63;9.4;3
1689;3.27;0.55;11.4;6
1690;3.11;0.45;9.7;4
1691;3.12;0.38;9.0;7
1692;3.28;0.49;11.8;6
1693;3.25;0.41;10.2;5
1694;3.37;0.42;9.2;6
1695;3.25;0.4;11.0;6
1696;3.08;0.31;10.0;6
1697;3.32;0.37;12.2;6
1698;3.28;0.49;11.8;6
1699;3.38;0.43;11.6;6
1700;3.44;0.61;10.2;6
1701;3.14;0.46;10.3;5
