;fixed acidity;volatile acidity;citric acid;residual sugar
786;7.7;0.34;0.28;
787;7.7;0.34;0.28;11.0
788;5.8;0.34;0.16;7.0
789;7.6;0.3;0.27;10.6
790;7.7;0.34;0.28;11.0
791;5.9;0.24;0.3;2.0
792;6.4;0.46;0.08;4.9
793;5.9;0.24;0.3;2.0
794;7.4;0.32;0.27;1.4
795;7.2;0.31;0.26;7.3
796;7.8;0.42;0.23;
797;6.9;0.24;0.33;12.5
798;5.4;0.18;0.24;4.8
799;6.0;0.18;0.31;1.4
800;7.8;0.27;0.58;11.2
801;6.0;0.28;0.49;6.8
802;6.8;0.39;0.35;11.6
803;6.6;0.21;0.31;11.4
804;7.3;0.32;0.34;
805;7.8;0.27;0.58;11.2
806;6.4;0.31;0.26;13.2
807;6.2;0.29;0.26;13.1
808;6.0;0.39;0.17;12.0
809;6.2;0.3;0.26;13.4
810;6.0;0.28;0.49;6.8
811;6.0;0.41;0.05;1.5
812;6.4;0.35;0.28;1.1
813;6.5;0.26;0.32;16.5
814;7.9;0.35;0.24;15.6
815;6.2;0.3;0.17;
816;8.4;0.18;0.42;5.1
817;6.6;0.56;0.22;8.9
818;6.2;0.3;0.17;2.8
819;6.6;0.56;0.22;8.9
820;6.6;0.36;0.29;1.6
821;7.3;0.655;0.2;
822;6.8;0.18;0.21;5.4
823;6.7;0.19;0.23;6.2
824;8.4;0.18;0.42;5.1
825;7.0;0.21;0.37;7.2
826;6.8;0.25;0.38;8.1
827;7.4;0.24;0.36;2.0
828;7.1;0.16;0.36;10.7
829;7.1;0.16;0.36;
830;7.3;0.205;0.31;1.7
831;7.4;0.17;0.4;5.5
832;7.3;0.3;0.34;2.7
833;6.9;0.25;0.34;1.3
834;7.3;0.205;0.31;1.7
835;7.5;0.42;0.34;4.3
836;7.3;0.25;0.36;2.1
837;7.3;0.25;0.36;2.1
838;7.3;0.25;0.36;2.1
839;7.5;0.34;0.35;
840;7.6;0.33;0.35;6.3
841;8.7;0.23;0.32;13.4
842;8.7;0.23;0.32;
843;6.9;0.19;0.35;1.7
844;7.3;0.21;0.29;1.6
845;7.3;0.21;0.29;1.6
846;6.6;0.22;0.37;15.4
847;9.2;0.34;0.27;1.2
848;8.7;0.23;0.32;13.4
849;6.0;0.2;0.24;1.8
850;6.9;0.19;0.35;1.7
851;8.2;0.38;0.49;13.6
852;6.9;0.18;0.36;1.3
853;7.7;0.34;0.58;11.1
854;6.9;0.18;0.36;1.3
855;7.4;0.2;0.35;2.1
856;8.2;0.38;0.49;
857;8.2;0.4;0.48;13.7
858;6.7;0.22;0.39;10.2
859;6.6;0.3;0.3;4.8
860;8.1;0.27;0.35;1.7
861;7.3;0.25;0.42;14.2
862;4.8;0.34;0.0;6.5
863;6.2;0.28;0.33;1.7
864;4.8;0.33;0.0;6.5
865;6.1;0.27;0.33;2.2
866;6.9;0.18;0.36;1.3
867;7.8;0.18;0.46;12.6
868;7.3;0.28;0.42;14.4
869;7.3;0.24;0.29;1.2
870;6.0;0.45;0.65;9.7
871;7.7;0.34;0.58;11.1
872;6.3;0.26;0.21;4.0
873;10.3;0.17;0.47;1.4
874;7.7;0.15;0.29;1.3
875;7.1;0.21;0.32;2.2
876;6.9;0.36;0.34;4.2
877;6.0;0.28;0.34;1.6
878;6.2;0.16;0.54;1.4
879;6.9;0.12;0.36;2.2
880;7.1;0.21;0.32;2.2
881;8.8;0.36;0.44;1.9
882;7.4;0.26;0.43;6.0
883;7.4;0.26;0.43;6.0
884;6.8;0.23;0.29;12.2
885;6.1;0.34;0.27;2.6
886;7.3;0.26;0.31;1.6
887;6.5;0.3;0.32;
888;7.3;0.26;0.31;1.6
889;6.5;0.3;0.32;2.0
890;5.0;0.31;0.0;6.4
891;5.8;0.26;0.18;1.2
892;5.9;0.26;0.3;1.0
893;7.0;0.31;0.29;1.4
894;5.8;0.26;0.18;1.2
895;5.6;0.19;0.39;1.1
896;6.8;0.18;0.28;8.7
897;7.0;0.29;0.26;1.6
898;6.6;0.26;0.29;1.4
899;6.8;0.18;0.28;8.5
900;6.6;0.2;0.38;7.9
901;8.0;0.29;0.29;13.2
902;6.1;0.28;0.35;12.8
903;5.9;0.31;0.3;7.7
904;6.9;0.21;0.28;2.4
905;8.4;0.19;0.42;1.6
906;8.3;0.27;0.45;1.3
907;7.1;0.25;0.39;2.1
908;8.0;0.23;0.37;9.6
909;7.5;0.24;0.31;13.0
910;6.3;0.33;0.2;5.8
911;6.2;0.33;0.19;5.6
912;6.3;0.34;0.19;5.8
913;5.8;0.29;0.05;0.8
914;8.0;0.32;0.26;1.2
915;5.6;0.29;0.05;
916;7.4;0.13;0.39;4.7
917;7.7;0.3;0.32;1.6
918;7.0;0.24;0.34;1.4
919;8.6;0.18;0.4;1.1
920;7.0;0.11;0.32;4.6
921;7.7;0.32;0.62;10.6
922;7.7;0.32;0.62;10.6
923;6.5;0.26;0.27;
924;7.9;0.28;0.41;2.0
925;6.3;0.27;0.23;2.9
926;5.4;0.595;0.1;2.8
927;6.7;0.25;0.33;2.9
928;6.5;0.25;0.35;12.0
929;6.1;0.36;0.58;15.0
930;7.7;0.17;0.52;5.9
931;6.4;0.26;0.43;12.6
932;6.5;0.26;0.28;12.5
933;5.9;0.29;0.33;7.4
934;6.2;0.28;0.43;13.0
935;6.1;0.27;0.44;6.7
936;6.4;0.43;0.32;1.4
937;6.1;0.36;0.58;15.0
938;6.2;0.35;0.29;7.3
939;7.7;0.24;0.29;15.3
940;6.2;0.34;0.28;
941;6.3;0.27;0.46;11.75
942;5.4;0.415;0.19;1.6
943;6.9;0.48;0.36;3.5
944;6.5;0.18;0.33;8.0
945;6.7;0.15;0.29;5.0
946;8.2;0.345;1.0;
947;8.5;0.16;0.35;
948;6.8;0.705;0.25;3.2
949;7.3;0.25;0.39;6.4
950;7.6;0.345;0.26;1.9
951;7.6;0.22;0.34;9.7
952;6.5;0.17;0.33;1.4
953;8.2;0.23;0.37;1.3
954;7.6;0.22;0.34;9.7
955;7.6;0.345;0.26;1.9
956;7.5;0.32;0.26;1.8
957;6.6;0.23;0.32;0.9
958;6.6;0.2;0.32;1.1
959;7.3;0.24;0.34;15.4
960;7.3;0.24;0.34;15.4
961;8.0;0.42;0.36;5.0
962;7.3;0.24;0.34;15.4
963;6.1;0.19;0.25;4.0
964;5.9;0.26;0.21;12.5
965;8.3;0.23;0.43;3.2
966;6.5;0.34;0.28;1.8
967;6.8;0.22;0.35;17.5
968;6.5;0.08;0.33;1.9
969;5.5;0.42;0.09;1.6
970;5.1;0.42;0.01;1.5
971;6.0;0.27;0.19;1.7
972;6.8;0.22;0.35;17.5
973;6.5;0.08;0.33;
974;7.1;0.13;0.38;1.8
975;7.6;0.3;0.25;4.3
976;6.6;0.13;0.3;4.9
977;6.5;0.14;0.33;7.6
978;7.7;0.28;0.33;6.7
979;6.0;0.2;0.71;1.6
980;6.0;0.19;0.71;1.5
981;7.7;0.28;0.33;6.7
982;5.1;0.39;0.21;1.7
983;5.7;0.36;0.34;
984;6.9;0.19;0.33;1.6
985;6.0;0.41;0.21;1.9
986;7.4;0.28;0.3;
987;7.4;0.3;0.3;5.2
988;6.9;0.19;0.33;1.6
989;7.7;0.28;0.39;8.9
990;8.6;0.16;0.38;3.4
991;8.2;0.26;0.44;1.3
992;6.5;0.25;0.27;15.2
993;7.0;0.24;0.18;1.3
994;8.6;0.18;0.36;1.8
995;7.8;0.27;0.34;1.6
996;6.0;0.26;0.34;1.3
997;6.1;0.24;0.27;9.8
998;8.0;0.24;0.3;
999;7.6;0.21;0.6;2.1
1000;8.0;0.19;0.36;1.8
1001;6.4;0.28;0.41;6.8
1002;6.4;0.28;0.43;7.1
1003;6.9;0.24;0.39;1.3
1004;5.8;0.36;0.26;3.3
1005;6.6;0.18;0.28;3.3
1006;5.8;0.36;0.26;3.3
1007;5.1;0.52;0.06;2.7
1008;6.6;0.22;0.37;1.2
1009;8.3;0.15;0.39;1.3
1010;7.6;0.16;0.44;1.4
1011;7.7;0.16;0.41;1.7
1012;8.3;0.16;0.48;1.7
1013;6.2;0.25;0.47;
1014;6.1;0.16;0.27;12.6
1015;7.6;0.39;0.22;2.8
1016;6.8;0.37;0.47;11.2
1017;7.6;0.16;0.44;1.4
1018;7.1;0.18;0.42;1.4
1019;8.3;0.14;0.26;
1020;8.6;0.2;0.42;1.5
1021;8.6;0.2;0.42;1.5
1022;6.8;0.19;0.32;7.05
1023;7.6;0.19;0.38;10.6
1024;6.8;0.34;0.74;2.8
1025;6.2;0.15;0.46;1.6
1026;6.6;0.14;0.44;1.6
1027;8.0;0.55;0.17;8.2
1028;7.0;0.24;0.35;1.5
1029;6.3;0.6;0.44;11.0
1030;7.1;0.2;0.41;2.1
1031;6.2;0.34;0.29;7.6
1032;7.1;0.3;0.36;6.8
1033;7.1;0.3;0.36;6.8
1034;7.9;0.64;0.46;10.6
1035;8.8;0.17;0.38;1.8
1036;7.5;0.17;0.37;
1037;7.1;0.47;0.24;6.0
1038;7.1;0.15;0.34;5.3
1039;7.5;0.17;0.34;
1040;8.2;0.68;0.3;2.1
1041;7.7;0.275;0.3;1.0
1042;7.3;0.49;0.32;5.2
1043;7.5;0.33;0.48;19.45
1044;7.2;0.21;0.37;1.6
1045;7.3;0.15;0.4;2.0
1046;6.5;0.19;0.1;1.3
1047;7.0;0.31;0.52;1.7
1048;8.3;0.4;0.38;1.1
1049;6.1;0.37;0.36;4.7
1050;7.3;0.24;0.34;7.5
1051;6.9;0.21;0.81;1.1
1052;7.6;0.29;0.42;1.3
1053;9.4;0.29;0.55;2.2
1054;7.0;0.31;0.52;1.7
1055;8.6;0.26;0.41;2.2
1056;7.5;0.21;0.34;1.2
1057;7.2;0.51;0.24;10.0
1058;7.5;0.21;0.34;
1059;5.3;0.3;0.2;1.1
1060;8.0;0.26;0.36;2.0
1061;7.0;0.21;0.28;7.5
1062;6.7;0.26;0.26;4.0
1063;6.7;0.26;0.26;4.1
1064;8.1;0.26;0.37;1.9
1065;8.3;0.22;0.38;14.8
1066;6.4;0.3;0.51;5.5
1067;7.5;0.19;0.34;2.6
1068;8.8;0.33;0.44;
1069;6.9;0.2;0.36;1.5
1070;8.0;0.37;0.32;1.6
1071;8.3;0.22;0.38;14.8
1072;8.2;0.29;0.33;9.1
1073;7.7;0.34;0.3;8.0
1074;6.2;0.55;0.45;12.0
1075;6.4;0.4;0.19;3.2
1076;7.5;0.28;0.33;7.7
1077;7.8;0.26;0.44;1.3
1078;6.5;0.26;0.34;16.3
1079;6.3;0.34;0.29;6.2
1080;6.8;0.15;0.33;4.7
1081;6.3;0.27;0.25;5.8
1082;6.3;0.27;0.25;5.8
1083;7.4;0.2;0.37;16.95
1084;6.3;0.23;0.21;5.1
1085;7.3;0.31;0.69;
1086;5.2;0.24;0.45;3.8
1087;7.0;0.24;0.32;
1088;7.4;0.2;0.37;16.95
1089;7.0;0.17;0.33;4.0
1090;8.3;0.21;0.58;
1091;7.2;0.21;0.35;
1092;7.1;0.21;0.4;1.2
1093;8.4;0.17;0.31;6.7
1094;7.4;0.24;0.31;8.4
1095;5.3;0.24;0.33;1.3
1096;6.5;0.28;0.26;8.8
1097;6.3;0.23;0.21;5.1
1098;6.5;0.29;0.25;10.6
1099;5.8;0.29;0.21;2.6
1100;6.3;0.27;0.25;5.8
1101;6.3;0.17;0.42;2.8
1102;6.3;0.16;0.4;
1103;7.9;0.29;0.39;6.7
1104;7.3;0.31;0.69;10.2
1105;5.5;0.32;0.45;4.9
1106;5.2;0.24;0.45;3.8
1107;7.2;0.37;0.15;
1108;6.1;0.29;0.27;1.7
1109;9.2;0.22;0.4;2.4
1110;7.2;0.37;0.15;2.0
1111;8.0;0.18;0.37;1.3
1112;6.5;0.22;0.34;12.0
1113;7.4;0.18;0.4;1.6
1114;6.5;0.52;0.17;1.4
1115;7.0;0.15;0.38;2.2
1116;5.9;0.415;0.13;
1117;8.1;0.45;0.34;8.3
1118;5.8;0.415;0.13;1.4
1119;6.4;0.5;0.16;12.9
1120;6.7;0.105;0.32;12.4
1121;6.0;0.4;0.3;1.6
1122;6.6;0.25;0.39;1.45
1123;9.8;0.36;0.45;1.6
1124;9.6;0.23;0.4;1.5
1125;6.3;0.55;0.45;13.0
1126;6.5;0.115;0.29;1.95
1127;6.4;0.125;0.29;5.85
1128;5.7;0.1;0.27;1.3
1129;7.9;0.25;0.29;5.3
1130;6.9;0.2;0.28;1.2
1131;6.9;0.23;0.34;4.0
1132;6.8;0.39;0.31;14.35
1133;8.7;0.22;0.42;2.3
1134;7.4;0.41;0.34;4.7
1135;6.7;0.25;0.34;12.85
1136;6.0;0.26;0.42;5.2
1137;6.1;0.31;0.37;8.4
1138;9.2;0.28;0.46;3.2
1139;9.0;0.31;0.49;6.9
1140;8.5;0.16;0.33;
1141;9.3;0.34;0.49;7.3
1142;9.2;0.28;0.46;3.2
1143;7.2;0.24;0.3;1.6
1144;7.2;0.25;0.32;1.5
1145;6.8;0.32;0.18;
1146;9.1;0.27;0.32;
1147;8.9;0.34;0.32;1.3
1148;7.0;0.17;0.37;5.7
1149;6.7;0.25;0.23;
1150;6.9;0.32;0.17;7.6
1151;6.8;0.32;0.18;7.5
1152;6.1;0.6;0.0;1.3
1153;5.3;0.395;0.07;1.3
1154;7.9;0.16;0.3;4.8
1155;7.6;0.33;0.36;2.1
1156;7.8;0.3;0.29;16.85
1157;7.8;0.3;0.29;
1158;5.7;0.26;0.27;4.1
1159;7.8;0.3;0.29;16.85
1160;7.5;0.14;0.34;
1161;7.8;0.3;0.29;16.85
1162;6.6;0.25;0.41;7.4
1163;5.7;0.26;0.27;4.1
1164;8.2;0.23;0.49;0.9
1165;6.0;0.24;0.32;6.3
1166;6.1;0.45;0.27;0.8
1167;7.4;0.23;0.43;1.4
1168;7.2;0.2;0.38;1.0
1169;7.5;0.14;0.34;1.3
1170;7.7;0.25;0.43;4.5
1171;8.2;0.61;0.45;5.4
1172;7.6;0.21;0.44;1.9
1173;7.4;0.22;0.33;2.0
1174;7.2;0.26;0.26;
1175;6.4;0.25;0.41;8.6
1176;6.3;0.32;0.35;11.1
1177;6.8;0.25;0.29;2.0
1178;9.8;0.44;0.4;2.8
1179;7.2;0.2;0.25;4.5
1180;8.2;0.61;0.45;5.4
1181;7.5;0.42;0.45;9.1
1182;7.4;0.22;0.33;
1183;6.4;0.26;0.3;2.2
1184;7.9;0.46;0.32;4.1
1185;6.5;0.41;0.64;11.8
1186;7.5;0.32;0.37;1.2
1187;6.6;0.21;0.38;2.2
1188;7.1;0.21;0.3;1.4
1189;7.6;0.26;0.47;
1190;7.6;0.21;0.44;1.9
1191;6.9;0.25;0.26;5.2
1192;7.1;0.26;0.32;14.45
1193;7.3;0.22;0.4;14.75
1194;6.2;0.37;0.22;8.3
1195;7.9;0.22;0.45;
1196;6.9;0.25;0.26;
1197;7.3;0.22;0.4;14.75
1198;7.1;0.26;0.32;
1199;7.4;0.25;0.37;6.9
1200;6.8;0.18;0.37;1.5
1201;7.0;0.17;0.37;1.5
1202;6.4;0.3;0.38;7.8
1203;5.0;0.33;0.16;1.5
1204;5.0;0.33;0.16;1.5
1205;8.9;0.33;0.32;1.5
1206;7.0;0.26;0.46;
1207;6.4;0.3;0.38;7.8
1208;6.3;0.21;0.4;1.7
1209;8.0;0.23;0.46;1.5
1210;9.2;0.28;0.41;1.0
1211;7.3;0.27;0.39;6.7
1212;7.6;0.32;0.36;1.6
1213;5.0;0.33;0.16;1.5
1214;9.7;0.24;0.45;1.2
1215;8.0;0.28;0.42;7.1
1216;8.2;0.37;0.36;1.0
1217;8.0;0.61;0.38;12.1
1218;7.2;0.26;0.44;7.1
1219;8.2;0.37;0.36;1.0
1220;6.4;0.23;0.33;1.15
1221;5.9;0.4;0.32;6.0
1222;7.6;0.28;0.39;1.2
1223;8.0;0.28;0.42;7.1
1224;7.2;0.23;0.39;2.3
1225;6.8;0.32;0.37;3.4
1226;7.2;0.23;0.39;2.3
1227;6.9;0.18;0.38;6.5
1228;9.4;0.26;0.53;1.2
1229;8.3;0.33;0.42;1.15
1230;7.3;0.29;0.3;13.0
1231;7.9;0.41;0.37;4.5
1232;7.9;0.44;0.37;
1233;7.7;0.39;0.3;5.2
1234;7.7;0.26;0.31;1.3
1235;7.8;0.32;0.31;1.7
1236;6.8;0.32;0.37;
1237;7.3;0.24;0.39;3.6
1238;7.1;0.44;0.37;2.7
1239;10.3;0.25;0.48;2.2
1240;7.9;0.14;0.28;1.8
1241;7.4;0.18;0.42;2.1
1242;8.1;0.43;0.42;6.6
1243;7.1;0.44;0.37;2.7
1244;6.4;0.26;0.22;5.1
1245;8.0;0.66;0.72;17.55
1246;8.0;0.2;0.4;5.2
1247;7.2;0.21;0.34;1.1
1248;7.2;0.18;0.31;1.1
1249;8.4;0.57;0.44;10.7
1250;5.3;0.26;0.23;5.15
1251;5.7;0.245;0.33;1.1
1252;5.6;0.245;0.32;1.1
1253;7.3;0.25;0.41;1.8
1254;7.0;0.16;0.73;1.0
1255;6.4;0.22;0.34;1.8
1256;7.3;0.18;0.65;1.4
1257;6.4;0.17;0.27;6.7
1258;6.9;0.29;0.16;
1259;6.2;0.21;0.38;6.8
1260;6.4;0.23;0.3;7.1
1261;7.3;0.19;0.68;1.5
1262;7.3;0.18;0.65;1.4
1263;9.6;0.29;0.46;1.45
1264;7.2;0.14;0.35;1.2
1265;6.9;0.31;0.34;7.4
1266;7.5;0.28;0.34;4.2
1267;8.0;0.22;0.42;14.6
1268;7.6;0.31;0.29;10.5
1269;8.4;0.35;0.56;13.8
1270;8.0;0.22;0.42;14.6
1271;8.1;0.5;0.47;1.1
1272;7.0;0.39;0.31;
1273;8.1;0.5;0.47;1.1
1274;8.4;0.35;0.56;13.8
1275;6.2;0.22;0.27;1.5
1276;8.0;0.22;0.42;14.6
1277;7.6;0.31;0.29;
1278;7.0;0.24;0.36;4.9
1279;6.6;0.27;0.3;1.9
1280;7.8;0.16;0.41;1.7
1281;7.7;0.27;0.34;1.8
1282;7.4;0.31;0.74;10.7
1283;8.0;0.45;0.36;8.8
1284;7.7;0.27;0.34;1.8
1285;7.8;0.16;0.41;1.7
1286;6.6;0.16;0.29;1.8
1287;8.3;0.21;0.4;1.6
1288;7.2;0.32;0.33;1.4
1289;6.6;0.16;0.3;1.6
1290;8.4;0.16;0.33;1.5
1291;7.5;0.23;0.32;9.2
1292;6.2;0.17;0.3;
1293;6.9;0.39;0.22;4.3
1294;6.9;0.41;0.22;4.2
1295;7.5;0.23;0.32;9.2
1296;7.5;0.38;0.33;5.0
1297;7.3;0.42;0.38;6.8
1298;7.3;0.34;0.39;
1299;7.8;0.23;0.28;4.75
1300;9.0;0.245;0.38;
1301;6.9;0.2;0.4;7.7
1302;7.4;0.19;0.42;6.4
1303;8.2;0.2;0.36;8.1
1304;8.0;0.59;0.71;17.35
1305;7.9;0.14;0.45;1.8
1306;6.8;0.24;0.4;1.8
1307;9.7;0.14;0.59;1.5
1308;9.2;0.15;0.68;1.6
1309;9.4;0.17;0.55;1.6
1310;5.2;0.365;0.08;
1311;6.3;0.23;0.22;3.75
1312;9.6;0.25;0.54;1.3
1313;9.2;0.32;0.42;1.3
1314;6.4;0.31;0.4;6.2
1315;8.1;0.2;0.36;9.7
1316;7.9;0.255;0.26;2.0
1317;7.0;0.15;0.34;1.4
1318;6.4;0.15;0.31;1.1
1319;6.4;0.25;0.53;6.6
1320;7.6;0.19;0.42;1.5
1321;7.3;0.43;0.37;4.6
1322;5.1;0.31;0.3;0.9
1323;6.2;0.2;0.26;1.7
1324;6.9;0.16;0.35;1.3
1325;7.7;0.32;0.48;2.3
1326;6.5;0.22;0.72;6.8
1327;6.8;0.26;0.33;1.5
1328;5.2;0.37;0.33;1.2
1329;8.4;0.19;0.43;2.1
1330;8.3;0.21;0.41;2.2
1331;6.8;0.15;0.32;8.8
1332;7.9;0.16;0.64;17.0
1333;7.8;0.21;0.39;1.8
1334;9.0;0.24;0.5;1.2
1335;5.7;0.21;0.24;2.3
1336;7.8;0.29;0.36;7.0
1337;6.7;0.18;0.3;6.4
1338;6.7;0.18;0.3;6.4
1339;8.4;0.58;0.27;12.15
1340;7.2;0.16;0.32;0.8
1341;7.6;0.54;0.23;2.0
1342;8.4;0.58;0.27;12.15
1343;6.6;0.25;0.31;12.4
1344;7.3;0.23;0.37;1.9
1345;7.3;0.39;0.37;1.1
1346;7.0;0.46;0.39;6.2
1347;8.2;0.35;0.4;6.3
1348;7.8;0.29;0.36;7.0
1349;9.2;0.35;0.39;0.9
1350;8.0;0.57;0.39;3.9
1351;6.5;0.37;0.33;3.9
1352;5.7;0.21;0.24;2.3
1353;6.7;0.18;0.3;6.4
1354;7.8;0.13;0.3;1.8
1355;7.6;0.19;0.41;1.1
1356;7.3;0.22;0.41;15.4
1357;6.3;0.29;0.4;6.5
1358;6.8;0.35;0.32;2.4
1359;6.5;0.19;0.32;1.4
1360;6.2;0.12;0.26;5.7
1361;6.0;0.13;0.28;5.7
1362;6.4;0.25;0.33;1.4
1363;6.9;0.32;0.16;1.4
1364;7.6;0.19;0.41;1.1
1365;6.7;0.13;0.28;1.2
1366;7.0;0.14;0.41;0.9
1367;7.6;0.27;0.24;3.8
1368;7.3;0.22;0.41;15.4
1369;7.4;0.64;0.47;14.15
1370;7.6;0.28;0.39;1.9
1371;8.3;0.26;0.41;9.2
1372;10.7;0.22;0.56;8.2
1373;10.7;0.22;0.56;8.2
1374;6.9;0.23;0.34;2.7
1375;6.2;0.3;0.32;1.7
1376;6.9;0.27;0.41;1.7
1377;6.9;0.28;0.41;
1378;6.9;0.28;0.3;1.6
1379;6.9;0.46;0.2;0.9
1380;6.9;0.38;0.32;
1381;5.7;0.43;0.3;5.7
1382;6.6;0.56;0.16;
1383;7.1;0.36;0.56;1.3
1384;6.8;0.23;0.4;
1385;6.2;0.33;0.29;1.3
1386;5.6;0.49;0.13;4.5
1387;6.6;0.42;0.33;2.8
1388;7.3;0.18;0.29;1.2
1389;8.1;0.19;0.4;0.9
1390;5.9;0.19;0.26;7.4
1391;6.2;0.16;0.47;1.4
1392;6.6;0.42;0.33;2.8
1393;5.7;0.135;0.3;4.6
1394;5.6;0.49;0.13;4.5
1395;6.9;0.19;0.33;1.6
1396;7.3;0.18;0.29;1.2
1397;7.3;0.25;0.36;13.1
1398;7.3;0.25;0.36;13.1
1399;7.0;0.2;0.34;5.7
1400;7.3;0.25;0.36;13.1
1401;6.3;0.67;0.48;
1402;7.4;0.4;0.29;5.4
1403;7.1;0.26;0.31;2.2
1404;9.0;0.31;0.48;6.6
1405;6.3;0.39;0.24;6.9
1406;8.2;0.22;0.36;6.8
1407;7.1;0.19;0.28;3.6
1408;7.3;0.25;0.36;13.1
1409;7.9;0.2;0.34;1.2
1410;7.1;0.26;0.32;5.9
1411;7.0;0.2;0.34;5.7
1412;6.9;0.3;0.33;4.1
1413;8.1;0.29;0.49;
1414;5.8;0.17;0.3;1.4
1415;5.9;0.415;0.02;0.8
1416;6.6;0.23;0.26;
1417;8.6;0.55;0.35;15.55
1418;6.9;0.35;0.74;1.0
1419;7.6;0.14;0.74;1.6
1420;9.2;0.28;0.49;11.8
1421;6.2;0.18;0.49;4.5
1422;5.3;0.165;0.24;1.1
1423;9.8;0.25;0.74;10.0
1424;8.1;0.29;0.49;7.1
1425;6.8;0.22;0.49;0.9
1426;7.2;0.22;0.49;1.0
1427;7.4;0.25;0.49;1.1
1428;8.2;0.18;0.49;1.1
1429;6.1;0.22;0.49;
1430;7.0;0.39;0.24;1.0
1431;6.1;0.22;0.49;1.5
1432;6.5;0.36;0.49;2.9
1433;7.1;0.29;0.49;1.2
1434;7.4;0.25;0.49;1.1
1435;6.9;0.23;0.24;14.2
1436;8.5;0.56;0.74;17.85
1437;8.2;0.18;0.49;
1438;6.3;0.23;0.49;7.1
1439;6.1;0.25;0.49;7.6
1440;7.2;0.26;0.74;13.6
1441;7.2;0.31;0.24;1.4
1442;8.0;0.25;0.49;1.2
1443;7.0;0.18;0.49;5.3
1444;7.8;0.43;0.49;
1445;8.3;0.2;0.74;4.45
1446;6.3;0.27;0.49;1.2
1447;7.4;0.16;0.49;1.2
1448;7.4;0.16;0.49;1.2
1449;6.9;0.19;0.49;6.6
1450;7.8;0.43;0.49;13.0
1451;7.2;0.4;0.49;1.1
1452;7.8;0.43;0.49;13.0
1453;7.6;0.52;0.49;14.0
1454;8.3;0.21;0.49;19.8
1455;6.9;0.34;0.74;11.2
1456;6.3;0.27;0.49;1.2
1457;8.3;0.2;0.74;4.45
1458;7.1;0.22;0.74;
1459;7.9;0.11;0.49;4.5
1460;8.5;0.17;0.74;
1461;6.4;0.145;0.49;5.4
1462;7.4;0.16;0.49;1.2
1463;8.3;0.19;0.49;1.2
1464;8.0;0.44;0.49;9.1
1465;7.0;0.2;0.74;0.8
1466;6.9;0.19;0.49;6.6
1467;7.1;0.25;0.49;3.0
1468;6.5;0.24;0.24;
1469;7.2;0.4;0.49;
1470;7.6;0.52;0.49;14.0
1471;7.8;0.43;0.49;
1472;7.8;0.21;0.49;1.35
1473;7.0;0.2;0.49;5.9
1474;6.9;0.25;0.24;
1475;7.2;0.08;0.49;1.3
1476;7.1;0.85;0.49;8.7
1477;7.6;0.51;0.24;1.2
1478;7.9;0.22;0.24;4.6
1479;7.7;0.16;0.49;2.0
1480;7.2;0.08;0.49;1.3
1481;6.6;0.25;0.24;1.7
1482;6.7;0.16;0.49;2.4
1483;6.9;0.25;0.24;3.6
1484;7.5;0.32;0.24;4.6
1485;7.4;0.28;0.49;
1486;6.2;0.15;0.49;
1487;6.7;0.25;0.74;19.4
1488;6.5;0.26;0.74;13.3
1489;7.9;0.16;0.74;17.85
1490;5.6;0.185;0.49;1.1
1491;7.5;0.2;0.49;
1492;8.0;0.3;0.49;9.4
1493;8.0;0.34;0.49;9.0
1494;7.7;0.35;0.49;8.65
1495;7.6;0.29;0.49;9.6
1496;6.7;0.62;0.24;1.1
1497;6.8;0.27;0.49;1.2
1498;7.7;0.27;0.49;1.8
1499;6.7;0.51;0.24;2.1
1500;7.4;0.19;0.49;9.3
1501;8.3;0.2;0.49;1.7
1502;6.6;0.3;0.24;1.2
1503;6.8;0.36;0.24;4.6
1504;7.0;0.17;0.74;12.8
1505;9.2;0.18;0.49;1.5
1506;8.1;0.2;0.49;8.1
1507;7.8;0.26;0.74;7.5
1508;6.8;0.21;0.49;14.5
1509;7.9;0.2;0.49;1.6
1510;8.0;0.18;0.49;1.8
1511;8.8;0.23;0.74;3.2
1512;7.3;0.22;0.49;9.4
1513;7.3;0.22;0.49;9.9
1514;7.4;0.19;0.49;
1515;7.3;0.155;0.49;1.3
1516;8.2;0.22;0.49;9.6
1517;8.2;0.24;0.49;9.3
1518;8.4;0.23;0.49;7.8
1519;8.3;0.2;0.49;1.7
1520;8.3;0.2;0.49;1.7
1521;6.6;0.3;0.24;1.2
1522;6.9;0.21;0.49;1.4
1523;8.0;0.25;0.49;9.0
1524;6.6;0.21;0.49;18.15
1525;7.2;0.27;0.74;12.5
1526;14.2;0.27;0.49;
1527;7.9;0.28;0.49;
1528;7.4;0.27;0.49;1.1
1529;6.6;0.21;0.49;18.15
1530;7.2;0.27;0.74;
1531;8.1;0.3;0.49;
1532;7.5;0.23;0.49;7.7
1533;7.3;0.26;0.49;5.0
1534;7.1;0.18;0.74;15.6
1535;8.5;0.15;0.49;
1536;8.9;0.13;0.49;1.0
1537;8.1;0.28;0.49;1.0
1538;6.0;0.17;0.49;1.0
1539;7.3;0.26;0.49;5.0
1540;7.1;0.18;0.74;15.6
1541;7.1;0.53;0.24;0.8
1542;7.2;0.16;0.49;1.3
1543;7.3;0.14;0.49;1.1
1544;8.9;0.13;0.49;1.0
